Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Melinda Fabian,RECORD: 4-4-2,"5' 6""",125 lbs.,"66""",Orthodox,4.03,41%,4.00,62%,0.00,0%,100%,0.0
CM Punk,RECORD: 0-1-0 (1 NC),"6' 1""",170 lbs.,"73""",Orthodox,1.10,23%,4.87,40%,0.87,11%,0%,0.0
Rashad Evans,RECORD: 19-8-1,"6' 0""",205 lbs.,"75""",Orthodox,2.14,37%,2.42,63%,2.98,44%,73%,0.0
Mike Santiago,RECORD: 19-12-0,"5' 10""",145 lbs.,"69""",Orthodox,3.44,49%,3.58,36%,2.66,50%,53%,1.1
Gleison Tibau,RECORD: 33-14-0,"5' 10""",155 lbs.,"71""",Southpaw,1.95,31%,2.51,63%,4.08,53%,92%,0.8
Mads Burnell,RECORD: 9-3-0,"5' 8""",145 lbs.,"69""",Orthodox,1.28,41%,2.71,51%,3.45,47%,22%,0.4
Daniel Kelly,RECORD: 13-4-0,"6' 0""",185 lbs.,"70""",Southpaw,3.62,38%,4.64,61%,1.86,34%,78%,0.3
Brad Scott,RECORD: 11-6-0,"6' 1""",170 lbs.,"76""",Orthodox,3.52,41%,4.31,57%,0.32,15%,63%,0.7
Diego Rivas,RECORD: 10-2-0,"5' 8""",145 lbs.,"69""",Orthodox,1.37,40%,2.14,52%,1.79,60%,64%,0.9
Henry Briones,RECORD: 16-8-1,"5' 8""",135 lbs.,"69""",Orthodox,3.47,42%,4.68,53%,0.00,0%,52%,0.6
Felipe Silva,RECORD: 8-2-0,"6' 0""",155 lbs.,"77""",Orthodox,5.40,50%,1.80,59%,1.00,100%,71%,0.0
Lyoto Machida,RECORD: 24-8-0,"6' 1""",185 lbs.,"74""",Southpaw,2.59,53%,1.57,61%,1.21,65%,75%,0.4
Vitor Belfort,RECORD: 26-14-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,1.59,46%,2.83,50%,1.02,60%,53%,0.6
Alberto Mina,RECORD: 13-1-0,"6' 0""",170 lbs.,"77""",Orthodox,3.23,38%,3.70,47%,1.85,20%,50%,0.0
James Bochnovic,RECORD: 8-3-0,"6' 4""",205 lbs.,"81""",Orthodox,0.65,26%,3.64,21%,0.00,0%,0%,0.0
Luan Chagas,RECORD: 15-3-1,"6' 0""",170 lbs.,"75""",Orthodox,4.16,47%,3.19,62%,0.32,12%,85%,0.3
Patrick Williams,RECORD: 8-6-0,"5' 8""",135 lbs.,"73""",Orthodox,4.12,51%,4.12,52%,2.71,41%,100%,0.5
Bec Rawlings,RECORD: 7-8-0,"5' 6""",125 lbs.,"64""",Orthodox,4.48,42%,5.66,57%,0.71,40%,68%,0.4
Tom Duquesnoy,RECORD: 16-2-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,3.83,45%,5.30,62%,0.42,25%,46%,0.0
Oliver Enkamp,RECORD: 7-2-0,"6' 0""",170 lbs.,"77""",Switch,2.38,36%,3.55,37%,0.87,16%,0%,0.0
Dmitry Sosnovskiy,RECORD: 11-0-0,"6' 3""",240 lbs.,"77""",Orthodox,2.95,70%,2.53,35%,3.16,66%,100%,3.2
Mark Godbeer,RECORD: 13-4-0,"6' 4""",240 lbs.,"77""",Orthodox,3.97,53%,3.30,54%,0.00,0%,28%,0.0
Mike Pyle,RECORD: 27-14-1,"6' 0""",170 lbs.,"74""",Orthodox,2.74,45%,2.84,60%,1.80,35%,70%,1.5
Russell Doane,RECORD: 15-8-0,"5' 7""",135 lbs.,"70""",Orthodox,1.75,40%,1.68,53%,2.11,45%,52%,0.8
Albert Morales,RECORD: 7-4-1,"5' 9""",135 lbs.,"72""",Orthodox,3.81,35%,3.96,56%,0.91,35%,70%,0.2
Brian Camozzi,RECORD: 7-5-0,"6' 2""",170 lbs.,"78""",Orthodox,3.15,26%,6.39,54%,0.00,0%,0%,0.7
Joshua Burkman,RECORD: 28-16-0 (1 NC),"5' 10""",170 lbs.,"72""",Orthodox,2.69,43%,3.13,51%,2.53,36%,72%,0.3
Cyril Asker,RECORD: 9-4-0,"6' 0""",247 lbs.,"74""",Orthodox,3.35,39%,5.82,35%,4.41,62%,100%,0.9
Damien Brown,RECORD: 17-12-0,"5' 10""",155 lbs.,"68""",Orthodox,3.66,38%,4.86,50%,0.68,27%,53%,0.7
Rob Wilkinson,RECORD: 11-2-0,"6' 3""",185 lbs.,"80""",Orthodox,2.74,50%,5.66,39%,4.47,25%,0%,0.0
Jeremy Kennedy,RECORD: 11-1-0,"5' 11""",145 lbs.,"71""",Orthodox,2.22,46%,2.58,47%,5.73,52%,66%,0.0
Timothy Johnson,RECORD: 12-4-0,"6' 3""",265 lbs.,"77""",Southpaw,3.43,45%,3.08,44%,1.09,24%,69%,0.0
Maia Stevenson,RECORD: 6-5-0,"5' 4""",115 lbs.,"62""",Orthodox,1.57,54%,3.13,33%,3.91,100%,50%,0.0
Joe Soto,RECORD: 18-7-0,"5' 6""",135 lbs.,"65""",Orthodox,3.36,41%,5.37,67%,0.85,21%,70%,1.9
Godofredo Pepey,RECORD: 13-6-0,"5' 7""",145 lbs.,"73""",Orthodox,2.32,38%,3.23,47%,0.37,7%,35%,1.5
Juliana Lima,RECORD: 9-5-0,"5' 5""",115 lbs.,"65""",Orthodox,1.94,44%,2.11,55%,1.72,31%,70%,0.0
Francimar Barroso,RECORD: 19-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,2.77,52%,3.07,59%,2.22,24%,83%,0.0
Sabah Homasi,RECORD: 11-8-0,"6' 0""",170 lbs.,"72""",Orthodox,4.98,48%,6.91,47%,2.80,50%,66%,0.0
Galore Bofando,RECORD: 5-3-0,"5' 11""",170 lbs.,"72""",Switch,3.63,45%,3.63,54%,2.37,100%,50%,0.0
Abel Trujillo,RECORD: 15-8-0 (1 NC),"5' 8""",155 lbs.,"70""",Orthodox,2.65,41%,2.31,59%,2.18,45%,40%,0.4
Oluwale Bamgbose,RECORD: 6-4-0,"5' 11""",185 lbs.,"78""",Switch,2.45,48%,2.70,55%,0.94,33%,37%,0.0
Erick Silva,RECORD: 19-9-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,2.50,48%,4.18,49%,0.85,35%,56%,1.4
Carls John De Tomas,RECORD: 6-2-0,"5' 5""",125 lbs.,"71""",Southpaw,1.74,37%,3.93,44%,1.37,33%,66%,0.0
Antonio Braga Neto,RECORD: 9-3-0 (1 NC),"6' 3""",185 lbs.,"77""",Orthodox,1.36,33%,3.92,45%,3.07,37%,0%,0.5
Angela Magana,RECORD: 11-9-0,"5' 1""",115 lbs.,"65""",Orthodox,1.53,28%,4.92,42%,0.40,25%,28%,0.4
DeAnna Bennett,RECORD: 8-3-1,"5' 4""",125 lbs.,"68""",Orthodox,3.13,58%,3.27,58%,0.00,0%,0%,1.0
Christina Marks,RECORD: 8-9-0,"5' 7""",125 lbs.,"69""",Orthodox,5.00,58%,3.00,64%,7.50,100%,0%,0.0
Ryan Janes,RECORD: 10-3-0,"6' 3""",185 lbs.,"76""",Orthodox,7.69,48%,5.53,59%,0.35,100%,58%,0.0
Karine Gevorgyan,RECORD: 3-3-0,"5' 4""",125 lbs.,"63""",,1.20,20%,1.80,76%,0.00,0%,0%,0.0
Ariel Beck,RECORD: 4-5-0,"5' 6""",125 lbs.,"66""",Southpaw,4.44,34%,4.31,64%,0.00,0%,0%,0.0
Michael Bisping,RECORD: 30-9-0,"6' 1""",185 lbs.,"75""",Orthodox,4.33,38%,2.71,65%,1.05,43%,63%,0.3
Wang Guan,RECORD: 20-1-1,"5' 9""",145 lbs.,"71""",Orthodox,4.73,43%,3.27,60%,0.00,0%,0%,0.0
Bobby Nash,RECORD: 8-4-0,"6' 0""",170 lbs.,"74""",Orthodox,3.42,37%,3.95,51%,2.37,33%,100%,1.6
Kailin Curran,RECORD: 4-5-0,"5' 4""",115 lbs.,"65""",Orthodox,3.89,43%,4.75,53%,2.00,57%,61%,0.6
Bharat Kandare,RECORD: 5-3-0,"5' 7""",135 lbs.,"72""",Orthodox,0.70,10%,1.88,72%,0.00,0%,0%,0.0
Bojan Velickovic,RECORD: 15-6-1,"6' 0""",170 lbs.,"76""",Southpaw,2.18,34%,2.31,57%,0.67,25%,55%,0.5
Ashkan Mokhtarian,RECORD: 13-3-0,"5' 6""",125 lbs.,"67""",Southpaw,1.95,43%,3.66,43%,0.54,16%,33%,0.0
Will Brooks,RECORD: 18-4-0,"5' 10""",155 lbs.,"72""",Orthodox,4.26,59%,2.54,56%,2.08,51%,82%,0.3
Anthony Hamilton,RECORD: 15-9-0,"6' 5""",260 lbs.,"76""",Orthodox,3.91,65%,3.02,45%,2.62,42%,78%,0.0
Nate Marquardt,RECORD: 35-19-2,"6' 0""",185 lbs.,"74""",Orthodox,2.71,49%,2.32,55%,1.87,51%,70%,0.8
Michel Quinones,RECORD: 8-3-0,"5' 10""",155 lbs.,"73""",Orthodox,2.91,29%,5.98,48%,0.00,0%,36%,0.0
Marcel Fortuna,RECORD: 9-3-0,"6' 1""",205 lbs.,"74""",Orthodox,3.83,46%,4.52,64%,0.45,8%,75%,0.5
Georges St-Pierre,RECORD: 26-2-0,"5' 11""",185 lbs.,"76""",Orthodox,3.78,53%,1.40,72%,4.16,74%,83%,1.1
Johny Hendricks,RECORD: 18-8-0,"5' 9""",185 lbs.,"69""",Southpaw,3.49,45%,3.99,53%,3.83,46%,63%,0.3
Hacran Dias,RECORD: 23-6-1,"5' 8""",155 lbs.,"69""",Orthodox,2.08,41%,3.31,55%,2.50,39%,76%,0.5
Christian Colombo,RECORD: 8-3-1,"6' 5""",265 lbs.,--,Orthodox,2.76,44%,4.02,42%,0.00,0%,33%,0.0
Jonathan Wilson,RECORD: 7-3-0,"6' 2""",205 lbs.,"75""",Southpaw,2.92,48%,5.65,56%,0.37,100%,80%,0.0
Marcin Held,RECORD: 23-7-0,"5' 9""",155 lbs.,"71""",Orthodox,1.41,34%,2.02,47%,2.46,46%,37%,1.3
Pearl Gonzalez,RECORD: 6-3-0,"5' 4""",115 lbs.,--,Orthodox,2.23,37%,4.07,57%,1.04,11%,0%,0.5
Marco Beltran,RECORD: 8-6-0,"5' 8""",125 lbs.,"69""",Orthodox,2.07,37%,1.93,63%,0.70,50%,46%,0.2
Takanori Gomi,RECORD: 35-14-0 (1 NC),"5' 7""",155 lbs.,"70""",Southpaw,3.81,41%,3.52,60%,1.23,65%,63%,0.8
Henrique da Silva,RECORD: 14-5-0,"6' 3""",205 lbs.,"76""",Orthodox,3.89,60%,5.28,40%,0.25,14%,22%,0.2
Chan-Mi Jeon,RECORD: 5-2-0,"5' 5""",115 lbs.,--,Orthodox,6.23,31%,7.77,55%,0.00,0%,0%,0.0
Hyun Gyu Lim,RECORD: 13-7-1,"6' 3""",170 lbs.,"77""",Orthodox,4.45,41%,5.07,51%,0.23,100%,73%,0.2
Azunna Anyanwu,RECORD: 14-5-0,"6' 1""",251 lbs.,--,Orthodox,2.47,42%,2.47,69%,0.65,100%,0%,0.0
Jason Saggo,RECORD: 12-4-0,"5' 11""",155 lbs.,"71""",Orthodox,2.50,39%,2.94,52%,2.33,40%,23%,0.0
Mitch Clarke,RECORD: 11-5-0,"5' 10""",155 lbs.,"73""",Orthodox,2.35,34%,3.27,47%,0.64,15%,50%,0.4
Adriano Martins,RECORD: 28-9-0,"5' 10""",155 lbs.,"72""",Southpaw,1.80,38%,2.14,65%,0.83,80%,81%,0.4
Abdul-Kerim Edilov,RECORD: 17-4-0,"6' 2""",205 lbs.,--,Orthodox,10.22,61%,0.13,92%,3.98,100%,0%,2.0
Bojan Mihajlovic,RECORD: 10-6-0,"5' 11""",205 lbs.,"73""",Orthodox,1.23,35%,5.95,47%,0.00,0%,33%,0.0
Andrew Holbrook,RECORD: 12-3-0,"5' 11""",155 lbs.,"70""",Southpaw,2.20,49%,3.00,54%,0.85,18%,10%,2.1
Hector Sandoval,RECORD: 14-4-0,"5' 2""",125 lbs.,"64""",Orthodox,3.31,52%,2.33,65%,3.49,25%,71%,1.4
Rafael Natal,RECORD: 21-9-1,"6' 0""",185 lbs.,"77""",Orthodox,3.10,47%,2.48,57%,2.55,34%,77%,0.5
Damian Grabowski,RECORD: 20-5-0,"6' 1""",241 lbs.,"75""",Orthodox,4.00,36%,7.65,51%,0.00,0%,0%,0.0
Chris Wade,RECORD: 12-3-0,"5' 10""",155 lbs.,"70""",Orthodox,1.70,53%,1.75,51%,2.60,51%,55%,1.1
Frankie Perez,RECORD: 10-4-0,"5' 11""",155 lbs.,"73""",Orthodox,1.64,41%,2.17,54%,1.75,41%,50%,0.3
James Mulheron,RECORD: 11-2-0,"5' 10""",243 lbs.,"73""",Orthodox,2.40,31%,3.47,42%,0.00,0%,25%,0.0
Neil Seery,RECORD: 16-13-0,"5' 4""",125 lbs.,"64""",Orthodox,3.56,41%,3.79,58%,0.78,27%,53%,1.6
Charlie Ward,RECORD: 3-3-0,"5' 11""",170 lbs.,--,Orthodox,1.64,19%,7.21,53%,0.00,0%,0%,0.0
Leslie Smith,RECORD: 10-7-1,"5' 9""",135 lbs.,"66""",Orthodox,7.56,40%,8.41,51%,0.00,0%,62%,0.0
Daniel Omielanczuk,RECORD: 19-8-1 (1 NC),"6' 0""",247 lbs.,"74""",Southpaw,3.09,57%,3.29,47%,0.56,26%,68%,0.1
Travis Browne,RECORD: 18-7-1,"6' 6""",255 lbs.,"79""",Orthodox,2.93,41%,4.31,42%,1.21,68%,75%,0.2
Jesse Taylor,RECORD: 31-15-0,"6' 0""",170 lbs.,"73""",Orthodox,1.94,65%,0.55,38%,7.28,50%,100%,3.1
Nick Roehrick,RECORD: 7-1-0,"6' 2""",205 lbs.,--,Orthodox,2.31,17%,6.92,44%,0.00,0%,0%,0.0
Tom Gallicchio,RECORD: 19-10-0,"5' 10""",170 lbs.,--,Southpaw,3.53,26%,7.07,43%,1.00,11%,0%,0.0
Joachim Christensen,RECORD: 14-6-0,"6' 3""",205 lbs.,"76""",Orthodox,3.78,41%,3.29,46%,0.00,0%,0%,0.0
Dennis Siver,RECORD: 23-11-0 (1 NC),"5' 6""",145 lbs.,"70""",Orthodox,3.87,32%,2.67,65%,0.87,32%,65%,0.3
Johnny Case,RECORD: 22-6-0,"5' 10""",155 lbs.,"72""",Orthodox,3.95,38%,2.66,61%,1.70,45%,72%,0.2
Josh Stansbury,RECORD: 4-8-0,"6' 2""",205 lbs.,"74""",Orthodox,3.22,54%,3.54,54%,0.00,0%,87%,1.0
Dong Hyun Kim,RECORD: 22-4-1 (1 NC),"6' 2""",170 lbs.,"76""",Southpaw,2.12,49%,1.89,58%,2.93,43%,71%,0.6
Tarec Saffiedine,RECORD: 16-7-0,"5' 10""",170 lbs.,"70""",Switch,4.05,47%,3.06,62%,0.52,36%,84%,0.1
Kwan Ho Kwak,RECORD: 9-2-0,"5' 5""",135 lbs.,--,Switch,3.29,41%,3.45,47%,0.78,100%,26%,0.0
Dominique Steele,RECORD: 14-9-0,"5' 10""",170 lbs.,"74""",Orthodox,2.32,49%,2.42,50%,2.95,42%,76%,0.0
Kiichi Kunimoto,RECORD: 18-7-2 (1 NC),"5' 10""",170 lbs.,"71""",Orthodox,1.87,44%,3.92,41%,1.59,20%,28%,0.3
Jim Wallhead,RECORD: 29-11-0,"5' 10""",170 lbs.,--,Orthodox,3.19,26%,6.65,49%,0.00,0%,100%,0.0
Alex Nicholson,RECORD: 7-4-0,"6' 4""",185 lbs.,"77""",Orthodox,4.12,43%,4.65,47%,0.00,0%,50%,0.5
Chris Camozzi,RECORD: 24-13-0,"6' 2""",185 lbs.,"75""",Orthodox,3.57,44%,2.96,56%,0.27,19%,57%,0.5
Reza Madadi,RECORD: 14-6-0,"5' 11""",155 lbs.,"73""",Orthodox,2.51,46%,3.31,66%,3.17,33%,89%,0.5
Nicholas Musoke,RECORD: 13-5-0 (1 NC),"6' 0""",170 lbs.,"75""",Orthodox,3.56,35%,3.80,57%,1.16,19%,82%,0.2
Michael McBride,RECORD: 8-3-0,"6' 1""",155 lbs.,--,Orthodox,4.08,48%,5.85,40%,1.85,42%,30%,1.2
Cindy Dandois,RECORD: 8-3-0,"5' 7""",135 lbs.,--,Orthodox,3.13,32%,3.40,58%,5.00,55%,0%,0.0
Joe Proctor,RECORD: 11-5-0,"5' 10""",155 lbs.,"72""",Orthodox,3.39,36%,3.93,59%,0.00,0%,70%,1.8
Roy Nelson,RECORD: 22-14-0,"6' 0""",263 lbs.,"73""",Orthodox,2.18,36%,4.79,46%,1.14,27%,65%,0.1
Rashid Magomedov,RECORD: 20-2-0,"5' 9""",155 lbs.,"70""",Orthodox,4.40,49%,3.05,54%,0.67,57%,89%,0.2
Augusto Mendes,RECORD: 6-2-0,"5' 6""",135 lbs.,"65""",Orthodox,2.42,34%,3.91,56%,1.75,33%,80%,0.0
Nathan Coy,RECORD: 15-7-0,"5' 10""",170 lbs.,"69""",Southpaw,3.88,52%,2.40,61%,3.17,47%,50%,0.0
Anthony Johnson,RECORD: 22-6-0,"6' 2""",205 lbs.,"78""",Orthodox,3.25,47%,1.83,60%,2.43,57%,77%,0.6
Gegard Mousasi,RECORD: 42-6-2,"6' 2""",185 lbs.,"76""",Orthodox,3.75,50%,1.21,68%,1.59,60%,59%,1.1
Patrick Cote,RECORD: 23-11-0,"5' 11""",170 lbs.,"75""",Orthodox,2.81,48%,3.21,48%,0.68,20%,43%,0.2
Mike de la Torre,RECORD: 14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,3.21,39%,4.75,51%,0.36,16%,83%,0.0
Brad Pickett,RECORD: 25-14-0,"5' 6""",135 lbs.,"68""",Orthodox,3.02,31%,4.63,55%,2.47,44%,58%,0.4
Scott Askham,RECORD: 14-4-0,"6' 3""",185 lbs.,"75""",Southpaw,3.03,46%,3.52,52%,0.44,18%,65%,0.7
Rony Jason,RECORD: 14-7-0 (1 NC),"5' 7""",145 lbs.,"73""",Orthodox,2.04,44%,3.14,53%,0.59,30%,36%,0.8
Garreth McLellan,RECORD: 13-6-0,"6' 1""",185 lbs.,"72""",Southpaw,3.56,54%,2.94,45%,1.15,22%,34%,0.9
Sam Sicilia,RECORD: 15-8-0,"5' 8""",145 lbs.,"67""",Orthodox,2.46,33%,3.55,59%,1.45,43%,70%,0.9
Alex Ricci,RECORD: 10-5-0,"5' 11""",155 lbs.,--,Orthodox,2.48,41%,2.53,64%,0.00,0%,64%,0.0
Reginaldo Vieira,RECORD: 13-5-0,"5' 7""",135 lbs.,"65""",Orthodox,3.76,40%,2.89,59%,1.97,27%,25%,0.8
Phillipe Nover,RECORD: 11-8-1,"5' 9""",145 lbs.,"72""",Orthodox,1.79,35%,2.48,56%,0.99,28%,44%,0.7
Roan Carneiro,RECORD: 21-11-0,"5' 11""",170 lbs.,"76""",Orthodox,1.46,46%,1.82,62%,3.05,42%,83%,1.4
Michinori Tanaka,RECORD: 11-3-0,"5' 5""",135 lbs.,"67""",Orthodox,1.97,37%,1.99,50%,2.40,38%,43%,0.2
Daniel Jolly,RECORD: 5-3-0,"6' 1""",205 lbs.,"75""",Orthodox,1.32,46%,3.39,44%,2.83,33%,50%,0.0
JC Cottrell,RECORD: 17-5-0,"5' 9""",155 lbs.,--,Orthodox,0.79,25%,2.75,45%,0.79,100%,50%,0.0
Viktor Pesta,RECORD: 10-4-0,"6' 3""",240 lbs.,"77""",Orthodox,1.58,36%,2.54,56%,3.29,28%,100%,0.0
Jocelyn Jones-Lybarger,RECORD: 6-4-0,"5' 7""",115 lbs.,"64""",Orthodox,2.96,31%,4.83,56%,0.34,25%,81%,0.0
Ronda Rousey,RECORD: 12-2-0,"5' 7""",135 lbs.,"66""",Orthodox,4.17,52%,4.14,44%,6.26,68%,50%,4.8
Brandon Thatch,RECORD: 11-5-0,"6' 2""",170 lbs.,"74""",Switch,2.70,42%,3.63,52%,1.36,66%,50%,0.7
Cole Miller,RECORD: 21-11-0 (1 NC),"6' 1""",145 lbs.,"73""",Orthodox,3.00,33%,3.88,59%,0.60,36%,38%,1.8
James Moontasri,RECORD: 9-5-0,"5' 10""",170 lbs.,"71""",Switch,2.39,48%,3.86,40%,0.00,0%,79%,0.2
Takeya Mizugaki,RECORD: 21-11-2,"5' 7""",135 lbs.,"69""",Orthodox,3.37,37%,3.27,57%,1.46,57%,70%,0.1
Fredy Serrano,RECORD: 3-2-0,"5' 3""",125 lbs.,"65""",Orthodox,1.58,26%,1.89,61%,2.84,25%,84%,0.0
Tim Kennedy,RECORD: 18-6-0,"5' 11""",185 lbs.,"74""",Orthodox,2.78,47%,1.84,62%,2.58,35%,70%,0.7
Valerie Letourneau,RECORD: 8-6-0,"5' 7""",115 lbs.,"68""",Orthodox,4.51,37%,5.40,58%,0.77,45%,66%,0.3
Zach Makovsky,RECORD: 20-8-0,"5' 4""",125 lbs.,"64""",Southpaw,1.94,43%,2.24,62%,3.71,30%,56%,0.3
Sean O'Connell,RECORD: 17-9-0,"6' 1""",205 lbs.,"74""",Orthodox,5.46,48%,6.77,45%,0.00,0%,30%,0.5
Joseph Gigliotti,RECORD: 7-2-0,"5' 11""",185 lbs.,--,Orthodox,1.04,39%,2.92,45%,1.56,100%,50%,0.8
Tiago dos Santos e Silva,RECORD: 20-7-2 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,3.69,35%,4.23,59%,0.63,11%,33%,0.3
Keith Berish,RECORD: 5-1-0 (1 NC),"6' 0""",205 lbs.,--,Orthodox,3.58,36%,4.81,62%,1.76,40%,0%,0.0
Brendan O'Reilly,RECORD: 6-3-0 (1 NC),"5' 7""",170 lbs.,"69""",Orthodox,1.90,47%,2.77,39%,2.22,43%,36%,0.6
Elvis Mutapcic,RECORD: 15-6-1,"6' 0""",185 lbs.,"72""",Orthodox,3.41,40%,4.27,38%,0.00,0%,81%,0.0
Kyle Noke,RECORD: 22-10-1,"6' 1""",170 lbs.,"76""",Southpaw,3.23,50%,2.09,64%,1.53,54%,66%,0.8
Yusuke Kasuya,RECORD: 9-3-0,"5' 7""",155 lbs.,--,Southpaw,2.17,44%,4.34,48%,1.36,33%,0%,0.0
Seo Hee Ham,RECORD: 17-8-0,"5' 2""",115 lbs.,"62""",Southpaw,4.20,39%,5.15,61%,0.00,0%,66%,0.2
Jonathan Meunier,RECORD: 8-1-0,"6' 3""",170 lbs.,--,Switch,3.47,50%,1.43,69%,0.58,33%,58%,0.0
Richard Walsh,RECORD: 9-5-0,"6' 0""",170 lbs.,"73""",Orthodox,3.84,46%,2.72,58%,1.55,40%,66%,0.2
Geane Herrera,RECORD: 9-3-0,"5' 5""",125 lbs.,"66""",Orthodox,1.51,31%,5.07,52%,0.83,37%,38%,0.6
Guangyou Ning,RECORD: 5-4-1,"5' 4""",145 lbs.,"64""",Southpaw,2.66,41%,1.91,61%,1.09,50%,62%,0.3
Yao Zhikui,RECORD: 2-4-0,"5' 5""",125 lbs.,"64""",Orthodox,1.44,21%,2.82,48%,0.66,16%,58%,0.0
Ryan Bader,RECORD: 23-5-0,"6' 2""",205 lbs.,"74""",Orthodox,2.82,43%,1.39,71%,3.37,44%,80%,0.4
Manvel Gamburyan,RECORD: 15-10-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,2.13,41%,2.83,55%,3.26,34%,69%,0.7
Magnus Cedenblad,RECORD: 14-5-0,"6' 5""",185 lbs.,"79""",Orthodox,2.38,51%,3.02,40%,2.87,64%,66%,1.0
Kyoji Horiguchi,RECORD: 19-2-0,"5' 5""",125 lbs.,"66""",Orthodox,3.60,45%,2.45,62%,2.00,44%,55%,0.0
Ali Bagautinov,RECORD: 15-6-0,"5' 4""",125 lbs.,"65""",Orthodox,2.85,42%,3.09,52%,2.51,36%,65%,0.3
Anna Elmose,RECORD: 3-2-0,"5' 3""",115 lbs.,--,Orthodox,3.68,49%,4.64,56%,0.00,0%,33%,0.0
Milana Dudieva,RECORD: 11-6-0,"5' 3""",135 lbs.,--,Orthodox,0.87,31%,3.43,58%,2.34,45%,0%,0.0
Heather Clark,RECORD: 7-6-0,"5' 6""",115 lbs.,"64""",Orthodox,3.69,49%,5.62,50%,0.33,4%,80%,0.3
Erik Perez,RECORD: 17-6-0,"5' 8""",135 lbs.,"68""",Orthodox,3.16,40%,2.09,66%,3.16,55%,69%,0.2
Erick Montano,RECORD: 7-5-0,"6' 0""",170 lbs.,"73""",Orthodox,2.79,44%,2.06,64%,2.29,36%,66%,0.0
Jason Novelli,RECORD: 11-3-1,"6' 0""",155 lbs.,--,Orthodox,1.73,24%,3.55,66%,0.70,33%,100%,0.0
Chris Avila,RECORD: 5-4-0,"5' 10""",145 lbs.,--,Orthodox,2.37,30%,4.17,48%,0.00,0%,46%,0.0
Dan Henderson,RECORD: 32-15-0,"5' 11""",185 lbs.,"74""",Orthodox,2.44,47%,2.70,51%,1.52,52%,57%,0.3
Albert Tumenov,RECORD: 18-4-0,"5' 11""",170 lbs.,"73""",Orthodox,3.76,42%,3.34,58%,0.20,20%,75%,0.0
Lukasz Sajewski,RECORD: 13-3-0,"5' 8""",155 lbs.,"71""",Orthodox,2.06,35%,3.88,57%,1.01,25%,66%,0.0
Tamdan McCrory,RECORD: 14-5-0,"6' 4""",185 lbs.,"76""",Switch,2.07,49%,1.60,46%,2.28,50%,33%,2.5
Cody East,RECORD: 12-3-0,"6' 3""",245 lbs.,--,Orthodox,4.15,43%,7.32,40%,3.97,100%,16%,0.0
Kelly Faszholz,RECORD: 4-2-0,"5' 8""",135 lbs.,--,Orthodox,4.01,48%,3.61,52%,0.00,0%,44%,0.0
Antonio Silva,RECORD: 19-12-1,"6' 4""",264 lbs.,"82""",Orthodox,2.89,45%,3.09,50%,0.82,29%,66%,0.8
Hector Urbina,RECORD: 17-10-1,"5' 11""",170 lbs.,"73""",Orthodox,0.97,38%,2.44,39%,0.00,0%,38%,3.8
Glaico Franca Moreira,RECORD: 15-5-0,"6' 0""",155 lbs.,"77""",Orthodox,2.35,42%,3.46,47%,2.68,42%,76%,0.3
Kenny Robertson,RECORD: 15-5-0,"5' 10""",170 lbs.,"74""",Orthodox,3.72,47%,3.02,52%,1.37,26%,57%,0.8
Maximo Blanco,RECORD: 12-8-1 (1 NC),"5' 8""",145 lbs.,"71""",Orthodox,4.11,44%,3.19,66%,1.85,36%,63%,0.3
Augusto Montano,RECORD: 15-3-0,"6' 1""",170 lbs.,"73""",Orthodox,3.46,46%,2.66,56%,0.00,0%,66%,0.0
Leonardo Guimaraes,RECORD: 11-5-0 (1 NC),"6' 0""",185 lbs.,--,Orthodox,2.35,56%,2.99,44%,0.00,0%,52%,1.0
Joey Gomez,RECORD: 6-2-0,"5' 10""",135 lbs.,"73""",Orthodox,2.44,28%,4.46,55%,0.62,100%,50%,0.0
Caio Magalhaes,RECORD: 10-3-0,"6' 1""",185 lbs.,"73""",Orthodox,2.27,40%,2.78,56%,1.05,15%,58%,1.6
Sean Spencer,RECORD: 12-6-0,"5' 10""",170 lbs.,"74""",Orthodox,4.24,32%,4.02,60%,0.14,33%,68%,0.0
Josh Barnett,RECORD: 35-8-0,"6' 3""",250 lbs.,"78""",Orthodox,3.20,50%,2.11,57%,1.26,55%,55%,1.4
Tae Hyun Bang,RECORD: 18-10-0,"5' 9""",155 lbs.,"71""",Switch,2.72,38%,2.07,66%,0.49,33%,57%,0.5
Leandro Issa,RECORD: 13-6-0,"5' 7""",135 lbs.,"69""",Orthodox,2.08,37%,3.17,58%,2.38,22%,50%,1.2
Leandro Silva,RECORD: 20-6-1 (1 NC),"5' 9""",155 lbs.,"72""",Orthodox,2.39,48%,2.08,63%,1.76,37%,65%,0.4
