Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Caolan Loughran,RECORD: 9-1-0,"5' 6""",135 lbs.,"68""",Orthodox,6.27,47%,5.73,56%,2.50,33%,0%,0.0
Angel Pacheco,RECORD: 7-3-0,"5' 8""",135 lbs.,"70""",Orthodox,9.50,39%,11.47,41%,0.00,0%,28%,0.0
Rose Namajunas,RECORD: 13-6-0,"5' 5""",125 lbs.,"65""",Orthodox,3.69,41%,3.51,63%,1.38,47%,59%,0.5
Amanda Ribas,RECORD: 12-5-0,"5' 3""",125 lbs.,"66""",Orthodox,4.63,40%,3.40,61%,2.07,51%,85%,0.7
Karl Williams,RECORD: 10-1-0,"6' 3""",235 lbs.,"79""",Orthodox,2.87,52%,1.70,60%,4.75,50%,100%,0.2
Justin Tafa,RECORD: 7-4-0 (1 NC),"6' 0""",264 lbs.,"74""",Southpaw,4.09,54%,5.02,47%,0.00,0%,50%,0.0
Edmen Shahbazyan,RECORD: 13-4-0,"6' 2""",185 lbs.,"75""",Orthodox,3.60,52%,4.09,45%,2.24,38%,63%,0.6
AJ Dobson,RECORD: 7-3-0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,4.29,46%,5.31,46%,1.67,75%,65%,0.3
Payton Talbott,RECORD: 8-0-0,"5' 10""",135 lbs.,"70""",Switch,8.05,54%,3.58,51%,0.00,0%,90%,0.5
Cameron Saaiman,RECORD: 9-2-0,"5' 8""",135 lbs.,"67""",Southpaw,5.32,46%,4.18,51%,0.91,28%,47%,0.7
Youssef Zalal,RECORD: 14-5-1,"5' 10""",145 lbs.,"72""",Switch,2.88,49%,1.73,65%,2.28,34%,60%,1.3
Billy Quarantillo,RECORD: 18-6-0,"5' 10""",145 lbs.,"70""",Orthodox,7.36,56%,5.57,43%,1.24,23%,61%,1.1
Fernando Padilla,RECORD: 16-5-0,"6' 1""",145 lbs.,"76""",Orthodox,6.48,42%,5.25,53%,0.00,0%,100%,0.8
Luis Pajuelo,RECORD: 8-2-0,"5' 10""",145 lbs.,"69""",Orthodox,6.03,57%,8.20,52%,0.00,0%,66%,0.0
Trey Ogden,RECORD: 17-6-0 (1 NC),"5' 11""",155 lbs.,"72""",Orthodox,3.38,47%,3.59,58%,1.64,23%,100%,0.6
Kurt Holobaugh,RECORD: 21-8-0 (1 NC),"5' 11""",155 lbs.,"70""",Orthodox,4.37,43%,4.07,48%,0.71,36%,46%,0.9
Julian Erosa,RECORD: 29-12-0,"6' 1""",145 lbs.,"74""",Southpaw,6.14,48%,6.29,47%,1.63,46%,58%,0.8
Ricardo Ramos,RECORD: 16-6-0,"5' 9""",145 lbs.,"72""",Orthodox,3.21,37%,3.74,57%,3.02,60%,72%,0.7
Miles Johns,RECORD: 14-2-0 (1 NC),"5' 7""",135 lbs.,"66""",Orthodox,3.28,47%,2.55,68%,1.15,22%,85%,0.0
Cody Gibson,RECORD: 20-10-0,"5' 10""",135 lbs.,"71""",Orthodox,4.00,43%,4.08,57%,1.28,28%,68%,0.2
Jarno Errens,RECORD: 14-5-1,"5' 11""",145 lbs.,"73""",Orthodox,3.44,46%,3.36,63%,0.00,0%,28%,0.3
Steven Nguyen,RECORD: 9-2-0,"5' 11""",145 lbs.,"73""",Switch,7.15,40%,7.36,60%,0.28,100%,84%,0.0
Daria Zhelezniakova,RECORD: 9-1-0,"5' 9""",135 lbs.,"68""",,3.80,38%,1.67,82%,0.00,0%,50%,0.0
Montserrat Rendon,RECORD: 6-1-0,"5' 8""",135 lbs.,"68""",Orthodox,3.13,28%,3.90,54%,3.00,54%,100%,0.0
Andre Lima,RECORD: 8-0-0,"5' 7""",125 lbs.,"67""",Orthodox,3.98,60%,2.67,60%,1.31,66%,61%,1.3
Igor Severino,RECORD: 8-1-0,"5' 7""",125 lbs.,"69""",Orthodox,7.17,52%,4.33,47%,9.69,71%,50%,0.0
Mick Parkin,RECORD: 9-0-0,"6' 4""",265 lbs.,"79""",Orthodox,4.54,51%,3.94,59%,1.60,41%,50%,0.3
Mohammed Usman,RECORD: 11-3-0,"6' 2""",239 lbs.,"79""",Orthodox,3.18,37%,4.21,52%,0.89,18%,0%,0.0
Marcin Tybura,RECORD: 25-8-0,"6' 3""",249 lbs.,"78""",Orthodox,3.60,48%,3.35,55%,1.43,33%,79%,0.1
Tai Tuivasa,RECORD: 15-7-0,"6' 2""",264 lbs.,"75""",Southpaw,3.96,49%,5.05,43%,0.00,0%,57%,0.0
Bryan Battle,RECORD: 11-2-0 (1 NC),"6' 1""",170 lbs.,"77""",Orthodox,4.52,51%,3.74,44%,1.12,28%,47%,0.6
Ange Loosa,RECORD: 10-3-0 (1 NC),"5' 10""",170 lbs.,"74""",Orthodox,6.09,46%,6.67,52%,2.05,42%,90%,0.2
Ovince Saint Preux,RECORD: 27-17-0,"6' 3""",205 lbs.,"80""",Southpaw,3.03,47%,3.32,47%,1.10,36%,67%,0.5
Kennedy Nzechukwu,RECORD: 12-5-0,"6' 5""",205 lbs.,"83""",Southpaw,5.13,45%,4.90,50%,0.60,45%,80%,0.2
Christian Rodriguez,RECORD: 11-1-0,"5' 7""",145 lbs.,"71""",Orthodox,3.45,48%,2.28,57%,1.14,54%,66%,1.1
Isaac Dulgarian,RECORD: 6-1-0,"5' 7""",145 lbs.,"71""",Orthodox,2.88,58%,2.53,39%,6.06,47%,0%,1.5
Macy Chiasson,RECORD: 10-3-0,"5' 11""",135 lbs.,"72""",Orthodox,3.53,44%,2.53,46%,2.38,37%,62%,0.5
Pannie Kianzad,RECORD: 17-8-0,"5' 7""",135 lbs.,"66""",Orthodox,4.74,49%,3.67,53%,0.46,33%,66%,0.1
Gerald Meerschaert,RECORD: 36-17-0,"6' 1""",185 lbs.,"77""",Southpaw,3.18,45%,3.37,53%,2.17,38%,34%,1.6
Bryan Barberena,RECORD: 18-12-0,"6' 0""",185 lbs.,"72""",Southpaw,5.35,48%,4.59,44%,0.13,22%,50%,0.3
Mike Davis,RECORD: 11-2-0,"6' 0""",155 lbs.,"72""",Orthodox,5.35,52%,5.76,55%,2.77,53%,64%,0.4
Natan Levy,RECORD: 8-2-0,"5' 9""",155 lbs.,"71""",Southpaw,3.70,52%,3.19,58%,5.03,58%,41%,0.5
Chelsea Chandler,RECORD: 6-2-0,"5' 8""",135 lbs.,"68""",Southpaw,3.45,45%,3.09,49%,1.31,60%,33%,0.0
Josiane Nunes,RECORD: 10-2-0,"5' 2""",135 lbs.,"67""",Southpaw,5.99,44%,5.25,53%,0.00,0%,58%,0.0
Jafel Filho,RECORD: 16-3-0,"5' 7""",125 lbs.,"68""",Orthodox,2.36,41%,2.00,47%,1.77,33%,55%,2.6
Ode Osbourne,RECORD: 12-7-0 (1 NC),"5' 7""",125 lbs.,"73""",Southpaw,3.46,38%,4.44,44%,1.27,27%,64%,0.2
Danny Silva,RECORD: 9-1-0,"5' 11""",145 lbs.,"70""",Switch,8.30,58%,9.47,59%,3.00,50%,100%,0.5
Josh Culibao,RECORD: 11-3-1,"5' 10""",145 lbs.,"73""",Orthodox,3.20,42%,3.24,56%,0.00,0%,67%,0.3
Jaqueline Amorim,RECORD: 8-1-0,"5' 3""",115 lbs.,"68""",Orthodox,3.33,52%,1.85,62%,1.48,23%,0%,5.4
Cory McKenna,RECORD: 8-3-0,"5' 3""",115 lbs.,"58""",Orthodox,3.00,40%,3.19,48%,2.22,58%,71%,0.4
Thiago Moises,RECORD: 18-7-0,"5' 9""",155 lbs.,"70""",Orthodox,2.47,40%,4.19,55%,1.64,44%,56%,1.3
Mitch Ramirez,RECORD: 8-2-0,"5' 11""",155 lbs.,"71""",Orthodox,2.37,42%,3.34,36%,0.91,100%,0%,0.0
Chad Anheliger,RECORD: 13-7-0,"5' 6""",135 lbs.,"64""",Orthodox,3.60,45%,3.11,53%,0.82,30%,42%,0.6
Charalampos Grigoriou,RECORD: 8-4-0,"5' 7""",135 lbs.,"67""",Orthodox,2.13,40%,5.56,46%,3.75,80%,100%,0.0
Sean O'Malley,RECORD: 18-1-0 (1 NC),"5' 11""",135 lbs.,"72""",Switch,7.63,61%,3.52,62%,0.35,42%,62%,0.3
Marlon Vera,RECORD: 23-9-1,"5' 8""",135 lbs.,"70""",Switch,4.31,49%,5.48,50%,0.53,39%,70%,0.9
Dustin Poirier,RECORD: 30-8-0 (1 NC),"5' 9""",155 lbs.,"72""",Southpaw,5.45,51%,4.36,53%,1.33,36%,63%,1.4
Benoit Saint Denis,RECORD: 13-2-0 (1 NC),"5' 11""",155 lbs.,"73""",Southpaw,5.70,54%,4.98,42%,4.76,37%,69%,1.5
Michael Page,RECORD: 22-2-0,"6' 3""",170 lbs.,"79""",Switch,3.14,69%,1.60,55%,0.77,25%,66%,0.0
Kevin Holland,RECORD: 25-11-0 (1 NC),"6' 3""",170 lbs.,"81""",Orthodox,4.24,49%,3.19,50%,0.85,38%,54%,0.6
Jack Della Maddalena,RECORD: 17-2-0,"5' 11""",170 lbs.,"73""",Switch,6.74,53%,4.27,66%,0.21,16%,70%,0.2
Gilbert Burns,RECORD: 22-7-0,"5' 10""",170 lbs.,"71""",Orthodox,3.29,48%,3.42,54%,2.24,38%,50%,0.5
Petr Yan,RECORD: 17-5-0,"5' 7""",135 lbs.,"67""",Switch,5.14,53%,4.36,58%,1.73,51%,85%,0.1
Song Yadong,RECORD: 21-8-1 (1 NC),"5' 8""",135 lbs.,"67""",Orthodox,4.49,43%,3.96,55%,0.66,40%,72%,0.2
Curtis Blaydes,RECORD: 18-4-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,3.53,50%,1.83,59%,5.72,53%,31%,0.0
Jailton Almeida,RECORD: 20-3-0,"6' 3""",205 lbs.,"79""",Orthodox,2.54,64%,0.74,40%,6.88,59%,75%,2.2
Maycee Barber,RECORD: 14-2-0,"5' 5""",125 lbs.,"65""",Switch,4.70,53%,2.90,54%,1.44,43%,53%,0.1
Katlyn Cerminara,RECORD: 18-6-0,"5' 9""",125 lbs.,"68""",Orthodox,4.58,34%,4.48,62%,0.31,15%,50%,0.3
Mateusz Gamrot,RECORD: 24-2-0 (1 NC),"5' 10""",155 lbs.,"70""",Southpaw,3.09,51%,3.07,59%,5.28,35%,90%,0.1
Rafael Dos Anjos,RECORD: 32-16-0,"5' 8""",155 lbs.,"70""",Southpaw,3.48,47%,3.21,60%,1.95,35%,55%,0.6
Kyler Phillips,RECORD: 12-2-0,"5' 8""",135 lbs.,"72""",Orthodox,5.72,45%,3.38,61%,2.41,46%,75%,0.5
Pedro Munhoz,RECORD: 20-9-0 (2 NC),"5' 6""",135 lbs.,"65""",Orthodox,5.32,43%,6.23,56%,0.51,18%,82%,0.5
Philipe Lins,RECORD: 18-5-0,"6' 2""",205 lbs.,"78""",Orthodox,3.80,49%,3.59,46%,1.65,33%,100%,0.0
Ion Cutelaba,RECORD: 17-10-1 (1 NC),"6' 1""",205 lbs.,"75""",Southpaw,4.44,43%,3.43,47%,4.17,57%,76%,0.0
Michel Pereira,RECORD: 30-11-0 (2 NC),"6' 1""",185 lbs.,"73""",Orthodox,5.15,54%,3.71,58%,1.55,55%,94%,0.7
Michal Oleksiejczuk,RECORD: 19-7-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,5.06,50%,4.26,61%,0.75,44%,48%,0.0
Robelis Despaigne,RECORD: 5-0-0,"6' 7""",265 lbs.,"84""",Orthodox,23.33,77%,6.67,60%,0.00,0%,0%,0.0
Josh Parisian,RECORD: 15-8-0,"6' 4""",265 lbs.,"79""",Orthodox,4.55,48%,4.88,41%,0.98,33%,46%,0.2
Asu Almabayev,RECORD: 19-2-0,"5' 4""",125 lbs.,"65""",Orthodox,3.02,59%,1.42,53%,7.12,57%,0%,1.3
CJ Vergara,RECORD: 12-5-1,"5' 6""",125 lbs.,"68""",Orthodox,5.24,57%,4.62,52%,0.00,0%,60%,0.2
Joanne Wood,RECORD: 17-8-0,"5' 6""",125 lbs.,"65""",Orthodox,7.10,51%,4.89,51%,1.52,55%,58%,0.3
