,Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location,Opponent,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg,Year
45,LOSS,Dan Argueta,0,14,9,0,Bantamweight,"SUB, Guillotine Choke",2,4:59,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Jean Matsumoto,RECORD: 9-2-0 (2 NC),"5' 7""",135 lbs.,"68""",Southpaw,2.18,0.45,1.9,51%,4.45,48%,57%,1.6,2024
46,WIN,Cesar Almeida,0,29,0,0,Middleweight,"KO/TKO, Elbows",2,2:13,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Dylan Budka,RECORD: 5-0-0,"6' 1""",185 lbs.,"74""",Orthodox,4.5,0.64,1.31,50%,0.0,0%,62%,0.0,2024
47,LOSS,Dylan Budka,0,1,3,0,Middleweight,"KO/TKO, Elbows",2,2:13,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Cesar Almeida,RECORD: 7-3-0,"6' 0""",185 lbs.,"75""",Switch,1.04,0.6,1.8,34%,3.38,38%,100%,0.7,2024
48,WIN,Nora Cornolle,1,36,0,0,Women's,"KO/TKO, Knee",2,3:06,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Melissa Mullins,RECORD: 8-1-0,"5' 7""",135 lbs.,"67""",Orthodox,3.29,0.59,1.26,56%,0.0,0%,50%,0.0,2024
49,LOSS,Melissa Mullins,0,11,1,0,Women's,"KO/TKO, Knee",2,3:06,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Nora Cornolle,RECORD: 6-1-0,"5' 7""",135 lbs.,"68""",Orthodox,2.73,0.52,3.64,47%,0.65,20%,75%,0.0,2024
50,WIN,Manon Fiorot,0,172,1,0,Women's,U-DEC,5,5:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Erin Blanchfield,RECORD: 12-1-0,"5' 7""",125 lbs.,"65""",Orthodox,6.26,0.41,3.77,68%,1.17,42%,93%,0.0,2024
51,LOSS,Erin Blanchfield,0,130,0,1,Women's,U-DEC,5,5:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Manon Fiorot,RECORD: 12-2-0,"5' 4""",125 lbs.,"66""",Orthodox,5.47,0.45,4.34,58%,2.05,33%,81%,1.0,2024
52,WIN,Joaquin Buckley,0,55,0,0,Welterweight,"KO/TKO, Punches",2,3:17,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Vicente Luque,RECORD: 18-6-0,"5' 10""",170 lbs.,"76""",Southpaw,4.06,0.34,3.26,58%,1.4,36%,69%,0.0,2024
53,LOSS,Vicente Luque,0,21,0,0,Welterweight,"KO/TKO, Punches",2,3:17,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Joaquin Buckley,RECORD: 22-10-1,"5' 11""",170 lbs.,"75""",Orthodox,5.07,0.52,5.21,52%,1.0,53%,62%,0.6,2024
54,WIN,Chris Weidman,1,75,1,0,Middleweight,U-DEC,3,2:18,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Bruno Silva,RECORD: 16-7-0,"6' 2""",185 lbs.,"78""",Orthodox,3.18,0.45,3.22,51%,3.44,42%,65%,0.8,2024
55,LOSS,Bruno Silva,0,30,0,0,Middleweight,U-DEC,3,2:18,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Chris Weidman,RECORD: 23-11-0,"6' 0""",185 lbs.,"74""",Orthodox,4.12,0.49,5.45,41%,0.93,27%,73%,0.0,2024
56,WIN,Nursulton Ruziboev,1,12,0,0,Middleweight,"KO/TKO, Punches",1,3:18,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Sedriques Dumas,RECORD: 34-8-2 (2 NC),"6' 5""",185 lbs.,"76""",Orthodox,3.93,0.43,0.87,80%,3.27,100%,0%,0.0,2024
57,LOSS,Sedriques Dumas,0,1,0,0,Middleweight,"KO/TKO, Punches",1,3:18,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Nursulton Ruziboev,RECORD: 9-2-0,"6' 2""",185 lbs.,"79""",Orthodox,1.76,0.45,2.14,57%,0.71,50%,40%,0.4,2024
58,WIN,Kyle Nelson,0,32,0,0,Featherweight,"KO/TKO, Punches",1,4:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Bill Algeo,RECORD: 16-5-1,"5' 11""",145 lbs.,"71""",Switch,3.65,0.45,4.69,52%,1.1,20%,73%,0.6,2024
59,LOSS,Bill Algeo,0,30,0,0,Featherweight,"KO/TKO, Punches",1,4:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Kyle Nelson,RECORD: 18-8-0,"6' 0""",145 lbs.,"73""",Switch,6.16,0.52,4.52,47%,0.86,46%,56%,0.1,2024
60,WIN,Chidi Njokuani,0,64,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,"Atlantic City, New Jersey, USA",Rhys McKee,RECORD: 23-10-0 (1 NC),"6' 3""",170 lbs.,"80""",Orthodox,4.09,0.61,2.94,55%,0.0,0%,74%,0.2,2024
