Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location
WIN,"Aleksei Oleinik, Travis Browne","1, 1","53, 35","3, 1","2, 0",Heavyweight,"SUB, Rear Naked Choke",2,3:44,UFC 213: Romero vs. Whittaker,"DATE: July 08, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chad Laprise, Brian Camozzi","1, 0","76, 47","1, 0","0, 0",Welterweight,"KO/TKO, Punch",3,1:27,UFC 213: Romero vs. Whittaker,"DATE: July 08, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Thiago Santos, Gerald Meerschaert","0, 0","60, 15","0, 3","0, 0",Middleweight,"KO/TKO, Punches",2,2:04,UFC 213: Romero vs. Whittaker,"DATE: July 08, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Belal Muhammad, Jordan Mein","0, 0","45, 36","4, 1","0, 1",Welterweight,U-DEC,3,5:00,UFC 213: Romero vs. Whittaker,"DATE: July 08, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Cody Stamann, Terrion Ware","0, 0","94, 60","8, 0","0, 0",Featherweight,U-DEC,3,5:00,UFC 213: Romero vs. Whittaker,"DATE: July 08, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Trevin Giles, James Bochnovic","0, 0","41, 5","5, 0","0, 0",Light,"KO/TKO, Punch",2,2:54,UFC 213: Romero vs. Whittaker,"DATE: July 08, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Justin Gaethje, Michael Johnson","0, 0","104, 91","0, 1","0, 0",Lightweight,"KO/TKO, Knees",2,4:48,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jesse Taylor, Dhiego Lima","0, 1","21, 4","2, 0","2, 0",Welterweight,"SUB, Rear Naked Choke",2,0:43,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Drakkar Klose, Marc Diakiese","0, 0","39, 34","3, 2","0, 0",Lightweight,S-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jared Cannonier, Nick Roehrick","0, 0","84, 28","1, 0","0, 0",Light,"KO/TKO, Elbows",3,2:08,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Brad Tavares, Elias Theodorou","0, 0","31, 34","1, 3","0, 0",Middleweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jordan Johnson, Marcel Fortuna","0, 0","42, 53","2, 0","0, 0",Light,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Angela Hill, Ashley Yoder","0, 0","47, 26","1, 3","0, 0",Women's,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"James Krause, Tom Gallicchio","0, 0","106, 53","0, 1","0, 0",Welterweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"CB Dollaway, Ed Herman","0, 0","54, 24","6, 1","1, 3",Light,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Tecia Torres, Juliana Lima","0, 0","15, 6","0, 1","1, 0",Women's,"SUB, Rear Naked Choke",2,0:53,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Gray Maynard, Teruto Ishihara","0, 0","16, 8","11, 0","2, 0",Featherweight,U-DEC,3,5:00,The Ultimate Fighter: Redemption Finale,"DATE: July 07, 2017","LOCATION: Las Vegas, Nevada, USA"
WIN,"Kevin Lee, Michael Chiesa","0, 0","22, 4","1, 0","1, 0",Lightweight,"SUB, Rear Naked Choke",1,4:37,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Tim Boetsch, Johny Hendricks","0, 0","41, 10","0, 0","0, 0",Middleweight,"KO/TKO, Punches",2,0:46,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Felice Herrig, Justine Kish","0, 0","47, 40","2, 0","1, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Dominick Reyes, Joachim Christensen","1, 0","13, 1","0, 0","0, 0",Light,"KO/TKO, Punches",1,0:29,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Tim Means, Alex Garcia","0, 0","64, 32","0, 0","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Dennis Siver, BJ Penn","0, 1","103, 57","0, 0","0, 0",Featherweight,M-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Clay Guida, Erik Koch","0, 0","38, 13","2, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Marvin Vettori, Vitor Miranda","0, 0","69, 51","3, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Carla Esparza, Maryna Moroz","0, 0","40, 38","6, 0","0, 1",Women's,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Darrell Horcher, Devin Powell","0, 0","37, 43","0, 0","2, 2",Lightweight,S-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Jared Gordon, Michel Quinones","0, 0","67, 16","4, 0","0, 0",Featherweight,"KO/TKO, Punches",2,4:24,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Anthony Rocco Martin, Johnny Case","0, 0","82, 92","1, 0","1, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Jeremy Kimball, Josh Stansbury","1, 0","17, 4","0, 0","0, 0",Light,"KO/TKO, Punches",1,1:21,UFC Fight Night: Chiesa vs. Lee,"DATE: June 25, 2017","LOCATION: Oklahoma City, Oklahoma, USA"
WIN,"Holly Holm, Bethe Correia","1, 0","25, 15","0, 0","0, 0",Women's,"KO/TKO, Kick",3,1:09,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Marcin Tybura, Andrei Arlovski","0, 0","51, 28","2, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Colby Covington, Dong Hyun Kim","0, 0","47, 19","8, 2","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Rafael Dos Anjos, Tarec Saffiedine","0, 0","81, 60","1, 1","1, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Jon Tuck, Takanori Gomi","0, 0","7, 0","0, 0","1, 0",Lightweight,"SUB, Rear Naked Choke",1,1:12,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Walt Harris, Cyril Asker","1, 0","21, 2","0, 0","0, 0",Heavyweight,"KO/TKO, Elbows",1,1:44,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Alex Caceres, Rolando Dy","1, 0","51, 20","0, 1","1, 0",Featherweight,KO/TKO,2,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Yuta Sasaki, Justin Scoggins","0, 1","21, 37","2, 1","1, 0",Flyweight,"SUB, Rear Naked Choke",2,3:19,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Li Jingliang, Frank Camacho","0, 0","94, 35","2, 1","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Russell Doane, Kwan Ho Kwak","1, 0","17, 10","0, 1","0, 0",Bantamweight,"KO/TKO, Punches",1,4:09,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Naoki Inoue, Carls John De Tomas","0, 0","62, 30","0, 2","5, 0",Flyweight,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Lucie Pudilova, Ji Yeon Kim","0, 0","53, 60","0, 0","2, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Holm vs. Correia,"DATE: June 17, 2017","LOCATION: Kallang, Singapore"
WIN,"Mark Hunt, Derrick Lewis","0, 0","59, 51","0, 0","0, 0",Heavyweight,"KO/TKO, Punches",4,3:51,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Derek Brunson, Daniel Kelly","1, 0","8, 1","0, 0","0, 0",Middleweight,"KO/TKO, Punch",1,1:16,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Dan Hooker, Ross Pearson","1, 0","69, 38","0, 0","0, 0",Lightweight,"KO/TKO, Knee",2,3:02,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Ion Cutelaba, Henrique da Silva","1, 0","15, 1","0, 0","0, 0",Light,"KO/TKO, Punch",1,0:22,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Ben Nguyen, Tim Elliott","0, 0","3, 1","1, 0","1, 0",Flyweight,"SUB, Rear Naked Choke",1,0:49,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Alexander Volkanovski, Mizuto Hirota","1, 0","87, 46","4, 0","0, 0",Featherweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Vinc Pichel, Damien Brown","1, 0","19, 21","0, 0","0, 0",Lightweight,"KO/TKO, Punch",1,3:37,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Luke Jumeau, Dominique Steele","0, 0","40, 44","0, 1","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"John Moraga, Ashkan Mokhtarian","0, 0","56, 12","2, 1","4, 0",Flyweight,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Zak Ottow, Kiichi Kunimoto","0, 0","37, 25","2, 2","0, 0",Welterweight,S-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"JJ Aldrich, Chan-Mi Jeon","0, 0","98, 92","0, 0","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Lewis vs. Hunt,"DATE: June 10, 2017","LOCATION: Auckland, New Zealand"
WIN,"Max Holloway, Jose Aldo","1, 0","104, 55","0, 0","0, 0",Featherweight,"KO/TKO, Punches",3,4:13,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Claudia Gadelha, Karolina Kowalkiewicz","0, 0","8, 9","1, 0","1, 0",Women's,"SUB, Rear Naked Choke",1,3:03,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Vitor Belfort, Nate Marquardt","0, 0","37, 57","0, 1","0, 0",Middleweight,U-DEC,3,5:00,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Paulo Costa, Oluwale Bamgbose","0, 0","43, 33","0, 2","0, 0",Middleweight,"KO/TKO, Punches",2,1:06,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Yancy Medeiros, Erick Silva","1, 0","33, 29","0, 0","0, 0",Welterweight,"KO/TKO, Punch",2,2:01,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Raphael Assuncao, Marlon Moraes","0, 0","43, 44","0, 0","0, 0",Bantamweight,S-DEC,3,5:00,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Antonio Carlos Junior, Eric Spicely","0, 0","12, 17","1, 1","2, 0",Middleweight,"SUB, Rear Naked Choke",2,3:49,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Matthew Lopez, Johnny Eduardo","0, 0","43, 16","1, 0","0, 1",Bantamweight,"KO/TKO, Punches",1,2:57,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Brian Kelleher, Iuri Alcantara","0, 0","4, 12","0, 1","1, 0",Bantamweight,"SUB, Guillotine Choke",1,1:48,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Viviane Pereira, Jamie Moyle","0, 0","80, 80","0, 0","0, 0",Women's,U-DEC,3,5:00,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Luan Chagas, Jim Wallhead","1, 0","95, 32","0, 0","1, 0",Welterweight,"SUB, Rear Naked Choke",2,4:48,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Deiveson Figueiredo, Marco Beltran","1, 0","17, 16","2, 0","4, 0",Flyweight,KO/TKO,2,5:00,UFC 212: Aldo vs. Holloway,"DATE: June 03, 2017","LOCATION: Rio de Janeiro, Rio de Janeiro, Brazil"
WIN,"Alexander Gustafsson, Glover Teixeira","2, 0","97, 42","1, 1","0, 0",Light,"KO/TKO, Punches",5,1:07,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Volkan Oezdemir, Misha Cirkunov","1, 0","5, 9","0, 0","0, 0",Light,"KO/TKO, Punch",1,0:28,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Peter Sobotta, Ben Saunders","3, 0","46, 19","0, 0","0, 0",Welterweight,"KO/TKO, Knee",2,2:29,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Omari Akhmedov, Abdul Razak Alhassan","0, 0","52, 43","6, 0","0, 0",Welterweight,S-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Nordine Taleb, Oliver Enkamp","0, 0","57, 34","2, 1","0, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Jack Hermansson, Alex Nicholson","0, 0","23, 1","1, 0","0, 1",Middleweight,"KO/TKO, Punches",1,2:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Pedro Munhoz, Damian Stasiak","0, 0","65, 44","3, 2","1, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Trevor Smith, Chris Camozzi","1, 0","39, 10","4, 0","0, 1",Middleweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Joaquim Silva, Reza Madadi","0, 0","40, 26","0, 5","1, 0",Lightweight,S-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Bojan Velickovic, Nicholas Musoke","1, 0","53, 49","1, 1","0, 0",Welterweight,"KO/TKO, Punch",3,4:37,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Darren Till, Jessin Ayari","1, 0","31, 28","2, 0","0, 1",Welterweight,U-DEC,3,5:00,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Damir Hadzovic, Marcin Held","1, 0","14, 31","0, 4","0, 1",Lightweight,"KO/TKO, Knee",3,0:07,UFC Fight Night: Gustafsson vs. Teixeira,"DATE: May 28, 2017","LOCATION: Stockholm, Sweden"
WIN,"Stipe Miocic, Junior Dos Santos","1, 0","26, 12","0, 0","0, 0",Heavyweight,"KO/TKO, Punch",1,2:22,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Joanna Jedrzejczyk, Jessica Andrade","0, 0","225, 83","0, 2","0, 0",Women's,U-DEC,5,5:00,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Demian Maia, Jorge Masvidal","0, 0","23, 39","4, 0","0, 0",Welterweight,S-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Frankie Edgar, Yair Rodriguez","0, 0","72, 16","1, 0","0, 1",Featherweight,KO/TKO,2,5:00,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"David Branch, Krzysztof Jotko","0, 0","39, 28","2, 1","0, 0",Middleweight,S-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
"NC, NC","Eddie Alvarez, Dustin Poirier","0, 0","44, 73","1, 0","0, 2",Lightweight,CNC,2,4:02,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Jason Knight, Chas Skelly","1, 0","59, 29","2, 1","3, 0",Featherweight,"KO/TKO, Punch",3,0:39,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Chase Sherman, Rashad Coulter","1, 0","103, 36","0, 0","0, 0",Heavyweight,"KO/TKO, Elbow",2,3:36,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"James Vick, Marco Polo Reyes","1, 0","20, 16","0, 0","0, 0",Lightweight,"KO/TKO, Punch",1,2:39,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Cortney Casey, Jessica Aguilar","0, 0","103, 57","0, 4","0, 0",Women's,U-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Enrique Barzola, Gabriel Benitez","0, 0","46, 51","9, 0","1, 0",Featherweight,U-DEC,3,5:00,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Gadzhimurad Antigulov, Joachim Christensen","0, 0","2, 1","1, 0","1, 0",Light,"SUB, Rear Naked Choke",1,2:21,UFC 211: Miocic vs. Dos Santos,"DATE: May 13, 2017","LOCATION: Dallas, Texas, USA"
WIN,"Cub Swanson, Artem Lobov","0, 0","209, 123","2, 2","0, 0",Featherweight,U-DEC,5,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Al Iaquinta, Diego Sanchez","2, 0","12, 4","0, 0","0, 0",Lightweight,"KO/TKO, Punch",1,1:38,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Ovince Saint Preux, Marcos Rogerio de Lima","0, 0","21, 17","1, 0","1, 0",Light,"SUB, Von Flue Choke",2,2:11,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"John Dodson, Eddie Wineland","0, 0","48, 21","0, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Stevie Ray, Joe Lauzon","0, 0","109, 46","0, 5","1, 1",Lightweight,M-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Mike Perry, Jake Ellenberger","2, 0","26, 17","0, 1","0, 0",Welterweight,"KO/TKO, Elbow",2,1:05,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Thales Leites, Sam Alvey","0, 0","38, 27","1, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Brandon Moreno, Dustin Ortiz","1, 0","24, 16","0, 4","2, 0",Flyweight,"SUB, Rear Naked Choke",2,4:06,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Scott Holtzman, Michael McBride","1, 0","104, 83","2, 3","0, 2",Lightweight,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Danielle Taylor, Jessica Penne","0, 0","72, 69","0, 1","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Alexis Davis, Cindy Dandois","0, 0","51, 47","0, 5","2, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Bryan Barberena, Joe Proctor","1, 0","28, 8","0, 0","0, 0",Welterweight,"KO/TKO, Punch",1,3:30,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Hector Sandoval, Matt Schnell","0, 0","32, 16","3, 1","0, 1",Flyweight,"KO/TKO, Punch",1,4:24,UFC Fight Night: Swanson vs. Lobov,"DATE: April 22, 2017","LOCATION: Nashville, Tennessee, USA"
WIN,"Demetrious Johnson, Wilson Reis","0, 0","108, 16","1, 0","1, 0",Flyweight,"SUB, Armbar",3,4:49,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Rose Namajunas, Michelle Waterson-Gomez","1, 0","47, 22","1, 1","1, 0",Women's,"SUB, Rear Naked Choke",2,2:47,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Robert Whittaker, Jacare Souza","1, 0","55, 9","0, 1","0, 0",Middleweight,"KO/TKO, Kick",2,3:28,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Renato Moicano, Jeremy Stephens","0, 0","70, 56","2, 0","0, 0",Featherweight,S-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Alexander Volkov, Roy Nelson","0, 0","122, 32","0, 1","0, 0",Heavyweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Tom Duquesnoy, Patrick Williams","2, 0","36, 37","0, 2","0, 0",Bantamweight,"KO/TKO, Elbows",2,0:28,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Rashid Magomedov, Bobby Green","0, 0","75, 75","0, 0","0, 0",Lightweight,S-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Tim Elliott, Louis Smolka","0, 0","57, 41","12, 1","1, 2",Flyweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Aljamain Sterling, Augusto Mendes","0, 1","83, 30","2, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Devin Clark, Jake Collier","0, 0","68, 36","4, 0","0, 1",Light,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Anthony Smith, Andrew Sanchez","1, 0","49, 63","0, 4","0, 0",Middleweight,"KO/TKO, Kick",3,3:52,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Zak Cummings, Nathan Coy","0, 0","25, 23","0, 1","2, 0",Welterweight,"SUB, Guillotine Choke",1,4:21,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Ketlen Vieira, Ashlee Evans-Smith","0, 0","71, 68","1, 0","0, 0",Women's,U-DEC,3,5:00,UFC on FOX: Johnson vs. Reis,"DATE: April 15, 2017","LOCATION: Kansas City, Missouri, USA"
WIN,"Daniel Cormier, Anthony Johnson","0, 0","36, 22","1, 1","1, 0",Light,"SUB, Rear Naked Choke",2,3:37,UFC 210: Cormier vs. Johnson 2,"DATE: April 08, 2017","LOCATION: Buffalo, New York, USA"
WIN,"Gegard Mousasi, Chris Weidman","0, 0","49, 13","0, 4","0, 1",Middleweight,"KO/TKO, Knee",2,3:13,UFC 210: Cormier vs. Johnson 2,"DATE: April 08, 2017","LOCATION: Buffalo, New York, USA"
